"REF_DATE","GEO","DGUID","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1992-11","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","14.560","","","","3"
"1992-11","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","6.800","","","","3"
"1992-11","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","7.760","","","","3"
"1992-12","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","15.295","","","","3"
"1992-12","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","6.692","","","","3"
"1992-12","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","8.603","","","","3"
"1993-01","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","14.474","","","","3"
"1993-01","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","5.974","","","","3"
"1993-01","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","8.500","","","","3"
"1993-02","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","13.579","","","","3"
"1993-02","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","6.768","","","","3"
"1993-02","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","6.811","","","","3"
"1993-03","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","13.828","","","","3"
"1993-03","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","7.175","","","","3"
"1993-03","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","6.653","","","","3"
"1993-04","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","16.541","","","","3"
"1993-04","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","5.863","","","","3"
"1993-04","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","10.678","","","","3"
"1993-05","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","13.486","","","","3"
"1993-05","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","5.816","","","","3"
"1993-05","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","7.670","","","","3"
"1993-06","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","14.540","","","","3"
"1993-06","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","6.464","","","","3"
