'

"Prov/Terr","FSA","Total","Total income","Net income","Taxable income"
24,"J1M",4590,220955,201611,194115
24,"J1N",28140,1618349,1450131,1414222
24,"J1R",8830,486251,432931,423876
24,"J1S",6410,293552,266857,255312
24,"J1T",6540,244625,227192,210176
24,"J1X",28650,1575818,1416475,1360934
24,"J1Z",4600,222734,202546,195010
24,"J2A",9890,481651,437857,423655
24,"J2B",26410,1269034,1169912,1075340
24,"J2C",25760,1219632,1114925,1065355
24,"J2E",3680,171648,156066,149951
24,"J2G",23800,941685,873687,821888
24,"J2H",18910,1106729,987395,960258
24,"J2J",15420,686743,627438,601954
24,"J2K",15180,679040,623514,594142
24,"J2L",9500,764332,677371,654044
24,"J2M",6180,376838,336865,326136
24,"J2N",8220,372267,341428,326127
24,"J2R",8690,451263,411227,396958
24,"J2S",24530,1119522,1029424,972210
24,"J2T",14460,676161,613821,593868
24,"J2W",23720,1469872,1307800,1280484
24,"J2X",16550,853844,774619,746849
24,"J2Y",4600,260668,234303,226051
24,"J3A",7840,313124,292169,274787
24,"J3B",27550,1288030,1175434,1129727
24,"J3E",25220,1644427,1463917,1436173
24,"J3G",27460,1636321,1463379,1433688
24,"J3H",22080,1581069,1403342,1374773
24,"J3L",42070,2733144,2445137,2388390
24,"J3M",8880,446285,405615,394069
24,"J3N",13700,889208,788184,772082
24,"J3P",21660,995836,906961,862015
24,"J3R",12380,603566,547818,524760
24,"J3T",7120,342031,310398,292734
24,"J3V",21460,1880348,1676793,1639555
24,"J3X",17360,1129793,999068,979522
24,"J3Y",54200,2824386,2547963,2492219
24,"J3Z",4440,268095,237796,234664
24,"J4B",35460,2926461,2599232,2553356
24,"J4G",8180,507411,452479,442815
24,"J4H",12780,724610,655493,625919
24,"J4J",24410,1078176,985956,943613
24,"J4K",21240,919977,843853,808783
24,"J4L",25140,1077855,989023,948015
24,"J4M",10390,621214,549433,538430
24,"J4N",9730,787589,702598,688132
24,"J4P",8990,789422,712495,689197
24,"J4R",8600,781092,703447,669277
24,"J4S",5180,495643,437298,428629
24,"J4T",15340,636212,586686,562856
24,"J4V",13730,678919,617239,595601
24,"J4W",14940,686557,624112,603351
24,"J4X",16020,1062703,953401,920061
24,"J4Y",20370,1258579,1137148,1109536
24,"J4Z",22690,1168197,1060574,1030042
24,"J5A",24040,1336766,1195374,1171239
24,"J5B",6760,369525,333730,326268
24,"J5C",13980,725298,652224,637054
24,"J5J",14360,691580,634133,613466
24,"J5K",13470,757282,683953,664140
24,"J5L",18260,1006112,906411,880576
24,"J5M",18240,798550,737841,706404
24,"J5N",11100,521487,476699,462058
24,"J5R",39600,2884388,2573100,2516663
24,"J5T",12000,584497,531445,513916
24,"J5V",6260,237676,221191,203664
24,"J5W",21110,1143506,1031551,1002184
24,"J5X",7070,332973,304317,291659
24,"J5Y",23780,1395465,1247945,1219010
24,"J5Z",22950,1170609,1054999,1028317
24,"J6A",28970,1596621,1431732,1394117
24,"J6E",39080,1809701,1646153,1561793
24,"J6J",19960,945236,860084,831526
24,"J6K",20260,932630,850181,824692
24,"J6N",13320,692656,627054,602929
24,"J6R",11630,663071,595953,578926
24,"J6S",20970,956412,875678,833644
24,"J6T",14880,660200,605907,574961
24,"J6V",11940,735209,654245,640351
24,"J6W",26250,1422590,1283408,1242950
24,"J6X",20750,1141273,1024233,997569
24,"J6Y",17150,1080208,971665,951601
24,"J6Z",15750,1072599,961495,942440
24,"J7A",11830,906912,809214,790812
24,"J7B",10830,957511,856665,834630
24,"J7C",37690,2328681,2084259,2036727
24,"J7E",23840,1181425,1071584,1036668
24,"J7G",14200,811219,724781,709323
24,"J7H",6860,398655,355319,347932
24,"J7J",22120,1269924,1145181,1121619
24,"J7K",29400,1631813,1466274,1432277
24,"J7L",11080,637208,573387,558163
24,"J7M",18980,879107,805103,780376
24,"J7N",26100,1436754,1294896,1263428
24,"J7P",20860,1057401,955991,926565
24,"J7R",31160,1635711,1477396,1436329
24,"J7T",23430,1532870,1379740,1352159
24,"J7V",54990,3121018,2817254,2746810
24,"J7W",11800,649300,589813,578981
24,"J7X",4470,227135,206448,201144
24,"J7Y",22240,979077,898052,853544
24,"J7Z",25290,1031613,951070,896486
24,"J8A",8830,519889,468847,454851
24,"J8B",12070,651297,584926,564134
24,"J8C",9800,445627,408032,388309
24,"J8E",9290,556148,505045,486943
24,"J8G",6870,309134,281698,267364
24,"J8H",12300,512027,474065,445820
24,"J8L",16240,846064,766614,741092
24,"J8M",10130,533224,483672,471224
24,"J8N",10290,616672,554674,542679
24,"J8P",27350,1339581,1220720,1182679
24,"J8R",22620,1393072,1243600,1222506
24,"J8T",31990,1623730,1474651,1426846
24,"J8V",21420,1507801,1341500,1321739
24,"J8X",7570,343291,314491,298049
24,"J8Y",18100,846741,772204,743288
24,"J8Z",11500,685745,615658,598580
24,"J9A",16900,1152246,1026473,1010798
24,"J9B",6140,562698,498595,490382
24,"J9E",6430,234096,218511,200671
